Offense,team_pass_rate
Tennessee Tech,0.5023400936037441
Texas,0.5209513023782559
Texas A&M,0.43070652173913043
Texas Southern,0.39501779359430605
Texas State,0.4721141374837873
Texas Tech,0.5442424242424242
The Citadel,0.3652037617554859
Toledo,0.5424200278164116
Towson,0.5255102040816326
Troy,0.4644628099173554
Tulane,0.36107554417413573
Tulsa,0.5084985835694051
Tuskegee,0.5972222222222222
UAB,0.5918653576437588
UAlbany,0.5737976782752903
UC Davis,0.5467224546722455
UCF,0.3976083707025411
UCLA,0.5893155258764607
UConn,0.43691899070385126
UL Monroe,0.36589698046181174
UNLV,0.3651925820256776
USC,0.6044973544973545
UT Martin,0.45223880597014926
UTEP,0.4900763358778626
UTSA,0.5420023014959724
UVA Wise,0.5087719298245614
Upper Iowa University,0.43243243243243246
Utah,0.5168711656441718
Utah State,0.5739910313901345
Utah Tech,0.5866935483870968
VMI,0.5016556291390728
Valparaiso,0.44227005870841485
Vanderbilt,0.4110612855007474
Villanova,0.45440494590417313
Virginia,0.5354558610709117
Virginia St,0.4107142857142857
Virginia Tech,0.4580152671755725
Virginia Union,0.37777777777777777
Virginia University Of Lynchburg,0.6682027649769585
Wagner,0.49228395061728397
Wake Forest,0.54
Warner University,0.4915254237288136
Washington,0.5437908496732026
Washington State,0.5013368983957219
Weber State,0.47513089005235604
West Georgia,0.5727482678983834
West Virginia,0.44596443228454175
West Virginia Wesleyan,0.7241379310344828
Western Carolina,0.5790754257907542
Western Illinois,0.5738562091503268
Western Kentucky,0.5383502170767004
Western Michigan,0.4362818590704648
Western Oregon,0.4715447154471545
William & Mary,0.36952714535901926
Winston-Salem,0.46296296296296297
Wisconsin,0.4659606656580938
Wofford,0.5273865414710485
Wyoming,0.4628482972136223
Yale,0.4801980198019802
Youngstown State,0.40671641791044777
